"Pass the Parcel with Bollywood Songs",family,bollywood,activity,all,Music system,Easy
"Antakshari with a Twist - Theme based",wedding,sangeet,activity,adults,Music setup,Easy
"Matka Race - Run balancing Matka on head",wedding,fun,activity,all,Matkas (earthen pots),Medium
"Guess the Movie from Emoji",birthday,bollywood,quiz,kids,Printed Emoji sheets,Easy
"Balloon Bursting Challenge",family,fun,activity,all,Balloons,Easy
"Musical Chair with Desi Songs",corporate,fun,activity,all,Chairs and Music,Easy
"Bollywood Dumb Charades",wedding,bollywood,charades,adults,None,Easy
"Saree Draping Competition",wedding,fun,activity,adults,Sarees,Medium
"Guess the Song - Antakshari Puzzle",family,sangeet,quiz,adults,Audio clips,Medium
"Lemon Spoon Race",family,fun,activity,kids,Lemon and Spoons,Easy
"Paper Dance Challenge",wedding,fun,dance-off,adults,Newspapers,Medium
"Bollywood Hook Step Challenge",sangeet,bollywood,dance-off,adults,Music System,Medium
"Family Tug of War",family,fun,activity,all,Thick rope,Easy
"Match the Jodi - Famous Couples",wedding,fun,quiz,adults,Printed Couple Names,Medium
"Pass the Ring",wedding,fun,activity,all,Ring and Straw,Easy
"Guess the Relatives by Baby Photos",wedding,fun,quiz,all,Old Baby Photos,Medium
"Best Mehendi Design Contest",wedding,fun,activity,adults,Henna cones,Hard
"Diya Decoration Competition",festival,fun,activity,all,Diyas and colors,Easy
"Tambola with Bollywood Housie Tickets",family,bollywood,quiz,adults,Tambola Set,Easy
"Bollywood Lip Sync Battle",sangeet,bollywood,dance-off,adults,Music System,Medium
"Blindfolded Cotton Ball Game",birthday,fun,activity,kids,Cotton Balls and Bowls,Easy
"Pani Puri Eating Contest",family,fun,activity,all,Pani Puri setup,Medium
"Guess the Spice - Smell Test",festival,fun,quiz,adults,Different spices,Hard
"Balloon Dance Challenge",birthday,fun,dance-off,kids,Balloons,Easy
"Rangoli Making Competition",festival,fun,activity,all,Colors and stencils,Medium
"Guess the Bollywood Dialogue",wedding,bollywood,quiz,adults,Printed Dialogues,Medium
"Matka Phod like Janmashtami",festival,fun,activity,adults,Matka and Rope,Hard
"Spin the Bottle - Truth & Dare",family,fun,activity,all,Bottle,Easy
"Paper Cup Pyramid Game",corporate,team-building,activity,all,Paper cups,Easy
"Kite Flying Competition",festival,fun,activity,all,Kites and threads,Medium
"Selfie Scavenger Hunt",birthday,fun,activity,adults,Phones,Easy
"Guess the Bollywood Song from Tune",sangeet,bollywood,quiz,adults,Music Player,Medium
"Chudi (Bangle) Collecting Race",wedding,fun,activity,adults,Bangles,Medium
"Blow the Cups with Balloon Air",corporate,fun,activity,all,Balloons and Cups,Easy
"Guess the Festival from Clues",family,fun,quiz,all,Clue cards,Easy
"Family Photo Pose Challenge",family,fun,activity,all,Props for photo,Easy
"Balance the Diya Race",festival,fun,activity,all,Diyas,Medium
"Identify the Bride-Groom Childhood Pic",wedding,fun,quiz,adults,Old Photos,Medium
"Bollywood Dance Relay",sangeet,bollywood,dance-off,adults,Music System,Medium
"Chai Pe Charcha - Fun Tea Quiz",corporate,fun,quiz,adults,Tea and cups,Easy
"Guess the Family Member by Voice",family,fun,quiz,all,Blindfold,Medium
"Fastest Saree Draper",wedding,fun,activity,adults,Sarees,Medium
"Pin the Mustache on the Groom",wedding,fun,activity,kids,Printed Face and Mustache,Easy
"Balance the Coin on Lemon",family,fun,activity,all,Lemon and Coin,Easy
"Musical Ball Passing",birthday,fun,activity,kids,Soft Ball,Easy
"Identify the Bollywood Villain",sangeet,bollywood,quiz,adults,Printed Pictures,Medium
"Guess the Bollywood Year",corporate,bollywood,quiz,adults,Printed Posters,Hard
"Decorate Your Pooja Thali",festival,fun,activity,adults,Thali, colors, Medium
"Funny Tongue Twister Challenge",family,fun,activity,all,None,Easy
"Who am I - Bollywood Edition",wedding,bollywood,charades,adults,Name Tags,Medium
"Thread the Needle Race",festival,fun,activity,all,Needle and Thread,Medium
"Guess the State from Costume",festival,fun,quiz,adults,State Costumes,Medium
"Arrange Wedding Rituals in Order",wedding,fun,quiz,adults,Printed Ritual Names,Hard
"Guess the Item in Mystery Box",birthday,fun,quiz,kids,Box with items,Medium
